メーカー,該当商品数,主なカテゴリ,判定,判定理由,卸の証拠,規模,日本実体シグナル,海外シグナル,国内独立セラー例,国内独立セラー数,独立セラー数,実セラー数_現行,想定仕入れ金額の中央値,代表ASIN,代表商品名,代表Amazonページ,メーカー検索
ルートアール,1,パソコン・周辺機器,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,秋葉Direct AMZ店全品送料無料 / 株式会社コジマ,2,3,4,1520,B095RJYT39,ルートアール 双方向・メタル筐体・多機能表示 USB Type-C電圧・電流チェッカー （ケーブル付きモデル） RT-T,https://www.amazon.co.jp/dp/B095RJYT39,https://www.google.com/search?q=%E3%83%AB%E3%83%BC%E3%83%88%E3%82%A2%E3%83%BC%E3%83%AB%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ワンラック (ONE LAC),1,ペット用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ONEBEST1+【インボイス発行事業者】 / スペシャルスペースアマゾン店 / 通販できるみんなのお薬（みんなのお薬）,5,6,6,1900,B08F9MJMX7,ワンラック (ONE LAC) プレミアムキャットミルク 150g×2個,https://www.amazon.co.jp/dp/B08F9MJMX7,https://www.google.com/search?q=%E3%83%AF%E3%83%B3%E3%83%A9%E3%83%83%E3%82%AF%20%28ONE%20LAC%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ヴィータ,1,ベビー＆マタニティ,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ベルニコ ダイレクトショップ / プチ・ママ / ホッチポッチ自由が丘WEB SHOP,3,3,3,3155,B0D9LT397N,VITAテーブルチェア（ピスタチオクリーム） 【 子供用椅子/テーブル装着型/ベビーチェア/収納バック付き/折りたたみ/,https://www.amazon.co.jp/dp/B0D9LT397N,https://www.google.com/search?q=%E3%83%B4%E3%82%A3%E3%83%BC%E3%82%BF%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
三祐,1,ペット用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語／日本法人格,なし,リベルテオンラインストア / 幸輝ショップ / ポケマート【防犯対策店】,4,4,4,553,B08VDNLY7D,アラスカンワイルド（天然）フリーズドライ タラ フィレ (36g),https://www.amazon.co.jp/dp/B08VDNLY7D,https://www.google.com/search?q=%E4%B8%89%E7%A5%90%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
三陽金属(Sanyo Metal),1,DIY・工具・ガーデン,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,七福ツール ((株)コジマ) / ECJOY! [創業24年インボイスT7011001061049] / 道具屋さん. com,3,4,4,1169,B07P6H1V6R,三陽金属 日本製 水田株間 畑 除草カッター 中干しの達人 チップソー 130mm 8P 稲を守りながら稲の株間除草 草,https://www.amazon.co.jp/dp/B07P6H1V6R,https://www.google.com/search?q=%E4%B8%89%E9%99%BD%E9%87%91%E5%B1%9E%28Sanyo%20Metal%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
丸隆,1,大型家電,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語／日本法人格,なし,ガッツ屋,1,3,3,1181,B0B6F392X5,丸隆 6N368トルネーダウォッシュMA864,https://www.amazon.co.jp/dp/B0B6F392X5,https://www.google.com/search?q=%E4%B8%B8%E9%9A%86%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
共立電気計器,1,産業・研究開発用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語,セラー名に中国企業表記/ピンイン,TERUYA online shop (登録番号：T2010801007678) / (株)ファースト / Procure A（プロキュアエース）,5,6,6,8507,B079PKDXH6,共立電気計器 (KYORITSU) 120A RMS AC/DCクランプ付デジタルマルチメータ KEWMATE 2012,https://www.amazon.co.jp/dp/B079PKDXH6,https://www.google.com/search?q=%E5%85%B1%E7%AB%8B%E9%9B%BB%E6%B0%97%E8%A8%88%E5%99%A8%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
医食同源ドットコム,1,産業・研究開発用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／メーカー名日本語,なし,ウエルシアドットコム 【WP岡山西大寺東店西日本地域】 【WPロジプレイス八王子店東日本地域】 / ヘルスケアコヤマ（置き配希望の場合はお届け先の後にご記入ください※対象外の場合あり） / クスリのゴクウ,5,5,6,544,B09T2PM8ZJ,[医食同源ドットコム] iSDG【90枚 30枚入x3箱】 立体型スパンレース不織布カラーマスク SPUN MASK (,https://www.amazon.co.jp/dp/B09T2PM8ZJ,https://www.google.com/search?q=%E5%8C%BB%E9%A3%9F%E5%90%8C%E6%BA%90%E3%83%89%E3%83%83%E3%83%88%E3%82%B3%E3%83%A0%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
吉田製油所,1,DIY・工具・ガーデン,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／メーカー名日本語,なし,福来たる市場 2026年 / buckteeth【株式会社バックティース】インボイス対応済,2,2,2,4373,B00X5YK4S6,白アリミケブロック業務用400ml 白蟻駆除用木部処理用乳剤,https://www.amazon.co.jp/dp/B00X5YK4S6,https://www.google.com/search?q=%E5%90%89%E7%94%B0%E8%A3%BD%E6%B2%B9%E6%89%80%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
大石天狗堂(Ooishi Tengudo),1,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,manufacturer日本語／メーカー名日本語,なし,コロポックル商会,1,3,3,1525,B001CIQ49A,大石天狗堂(Ooishi Tengudo) 小倉百人一首 歌かるた 標準取札,https://www.amazon.co.jp/dp/B001CIQ49A,https://www.google.com/search?q=%E5%A4%A7%E7%9F%B3%E5%A4%A9%E7%8B%97%E5%A0%82%28Ooishi%20Tengudo%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
寺田ポンプ製作所,1,産業・研究開発用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語／日本法人格,なし,【ミナトワークス】 / 御用待本舗 / buckteeth【株式会社バックティース】インボイス対応済,4,6,6,9706,B0C7QHPDGD,寺田ポンプ製作所 寺田 底水用水中ポンプ SP-150BNL 50Hz,https://www.amazon.co.jp/dp/B0C7QHPDGD,https://www.google.com/search?q=%E5%AF%BA%E7%94%B0%E3%83%9D%E3%83%B3%E3%83%97%E8%A3%BD%E4%BD%9C%E6%89%80%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
小川耕太郎∞百合子社,1,DIY・工具・ガーデン,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,manufacturer日本語／メーカー名日本語／日本法人格,なし,漆庵 / World NEXT （無休・即日発送） / ヒロセ ネットショップ,3,5,5,640,B0058FZGKG,シックハウス対策に天然成分100％ワックス『未晒し蜜ロウワックス』/Aタイプ　100ml,https://www.amazon.co.jp/dp/B0058FZGKG,https://www.google.com/search?q=%E5%B0%8F%E5%B7%9D%E8%80%95%E5%A4%AA%E9%83%8E%E2%88%9E%E7%99%BE%E5%90%88%E5%AD%90%E7%A4%BE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
岩手県木炭協会,1,スポーツ＆アウトドア,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,manufacturer日本語／メーカー名日本語／日本法人格,なし,燃料スーパー上総屋（インボイス登録事業者） / パピルスマート / RHファクトリーEC事業部,5,5,5,629,B005II6RXI,岩手県木炭協会 岩手切炭、6ｋｇ、黒炭、信頼のブランド、室内使用、,https://www.amazon.co.jp/dp/B005II6RXI,https://www.google.com/search?q=%E5%B2%A9%E6%89%8B%E7%9C%8C%E6%9C%A8%E7%82%AD%E5%8D%94%E4%BC%9A%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
岸ゴム,1,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,【安心安全・即日配送】フロンティアShop（誠に勝手ながら問合わせはメールのみ受付けております） / [PLEASANTSショップ]K−Bright / お祭りバンク,5,6,6,1229,B00K1BUIYQ,ピカピカ水族館 48個入 OISNS11341,https://www.amazon.co.jp/dp/B00K1BUIYQ,https://www.google.com/search?q=%E5%B2%B8%E3%82%B4%E3%83%A0%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
常陸化工,1,ペット用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,よろずやマルシェ / charm（チャーム） | 総合ペットショップ,2,3,3,2311,B072M2D7QH,常陸化工 猫砂 トイレに流せる木製猫砂 大容量タイプ 12L 4袋,https://www.amazon.co.jp/dp/B072M2D7QH,https://www.google.com/search?q=%E5%B8%B8%E9%99%B8%E5%8C%96%E5%B7%A5%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
快適設計IBR,1,産業・研究開発用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語／日本法人格,なし,株式会社アイ・ビー・アール / MTI直販 /（nb）公式,2,2,2,529,B0DX1R9SK6,[快適設計IBR] KN95 マスク 不織布 5層 CNAS機関認証済み 旧製品「レギュラー」の新バージョン 立体構造 ,https://www.amazon.co.jp/dp/B0DX1R9SK6,https://www.google.com/search?q=%E5%BF%AB%E9%81%A9%E8%A8%AD%E8%A8%88IBR%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
日本電興株式会社,1,DIY・工具・ガーデン,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語／日本法人格,なし,ひるねこ【適格請求書発行事業者】 / A1 ショップ【3300円以上で全国送料無料】※一部送料無料もございます,2,2,2,4093,B0CCCMPTQR,日本電興(NIHON DENKO) 日本製 ナノバブル発生装置 キッチン水栓用 (泡沫/丸型) ND-NBKS 工具不要,https://www.amazon.co.jp/dp/B0CCCMPTQR,https://www.google.com/search?q=%E6%97%A5%E6%9C%AC%E9%9B%BB%E8%88%88%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
柳宗理(Yanagi Sori),1,ホーム＆キッチン,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,メーカー名日本語,なし,スタイルキッチン / リビングート / IKESHO （マイクロプレインJAPAN公式 日本で唯一の正規代理店）,4,6,6,3132,B0000DIJ6Z,柳宗理(Yanagi Sori) ステンレス片手鍋22cm ガス火専用 つや消し ふた付き 浅型 2.5L 注ぎやすさと,https://www.amazon.co.jp/dp/B0000DIJ6Z,https://www.google.com/search?q=%E6%9F%B3%E5%AE%97%E7%90%86%28Yanagi%20Sori%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
株式会社 山本人形,1,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,manufacturer日本語／メーカー名日本語／日本法人格,なし,お祭りバンク / おもちゃの三洋堂 (土日祝日休業) / Gプラスストア,4,5,6,245,B08K44HVLY,スーパーボール カラフルうんちNP24mm アソート100個入,https://www.amazon.co.jp/dp/B08K44HVLY,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E5%B1%B1%E6%9C%AC%E4%BA%BA%E5%BD%A2%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
株式会社アザレア,1,ホビー,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語／日本法人格,なし,安全用品販売ハルワ / モデルガンショップ　チトセ浜松 / ミリタリーベース,4,4,4,252,B0989GCNFS,HITCALL 天然由来成分PLA配合 NM BB弾 0.2g 4000発 高精度 高真球 ウォーター研磨仕上げ採用,https://www.amazon.co.jp/dp/B0989GCNFS,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%A2%E3%82%B6%E3%83%AC%E3%82%A2%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
浅香工業(Asaka Kougyou),1,DIY・工具・ガーデン,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,JAN45/49／メーカー名日本語,なし,ものうりばPlantz / 一級品の店 いっきゅう / HALLOC（ハロック）,3,3,3,2500,B07T72NMDG,浅香工業 ウェブホース 内径15mmx外径20mm 長さ20m 280428,https://www.amazon.co.jp/dp/B07T72NMDG,https://www.google.com/search?q=%E6%B5%85%E9%A6%99%E5%B7%A5%E6%A5%AD%28Asaka%20Kougyou%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
矢崎エナジーシステム㈱,1,DIY・工具・ガーデン,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,manufacturer日本語／メーカー名日本語／日本法人格,なし,KNS　カネダイネットショップ / 【給湯器とガスコンロのお店】,2,3,3,2337,B07D97XSRP,ＹＡＺＡＫＩ 矢崎 電源コード式 都市ガス ガス警報器 日本製 YF-814 ガス漏れ 警報器 省エネ コンパクト,https://www.amazon.co.jp/dp/B07D97XSRP,https://www.google.com/search?q=%E7%9F%A2%E5%B4%8E%E3%82%A8%E3%83%8A%E3%82%B8%E3%83%BC%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0%E3%88%B1%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
矢崎化工(Yazaki Kako),1,DIY・工具・ガーデン,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,manufacturer日本語／メーカー名日本語,なし,【給湯器とガスコンロのお店】,1,2,2,7658,B0B3SKGMJR,YAZAKI YP-778A 都市ガス用電池式ガス・CO警報器　矢崎エナジーシステム製　12A、13A ホワイト,https://www.amazon.co.jp/dp/B0B3SKGMJR,https://www.google.com/search?q=%E7%9F%A2%E5%B4%8E%E5%8C%96%E5%B7%A5%28Yazaki%20Kako%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
第一ビニール,1,DIY・工具・ガーデン,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ダイユーエイト【「在庫あり」表示の商品は祝日も発送しております-土日は休みです-】 / 買援隊 / 村の鍛冶屋,3,3,4,6485,B076M5T7CQ,DAIM 土と芝の根 どめどめシート 15cm 3m巻 12セット 花壇 土留め 根止め ガーデンエッジ,https://www.amazon.co.jp/dp/B076M5T7CQ,https://www.google.com/search?q=%E7%AC%AC%E4%B8%80%E3%83%93%E3%83%8B%E3%83%BC%E3%83%AB%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
自然暮らし,1,DIY・工具・ガーデン,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語／日本法人格,なし,日東エフシー株式会社 / TAIYO.Co《12時までの注文で当日出荷。購入者都合返品は往復送料実費負担いただきます》 / 株式会社シャロー,3,3,3,722,B0FMXLFN4V,【プロ品質の万能肥料】観葉植物 水耕栽培 粉末 肥料 栄養剤 液体肥料 自然暮らし 水に溶かして速く効く粉末液肥 100,https://www.amazon.co.jp/dp/B0FMXLFN4V,https://www.google.com/search?q=%E8%87%AA%E7%84%B6%E6%9A%AE%E3%82%89%E3%81%97%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
近与(KONYO),1,DIY・工具・ガーデン,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,DAISHIN工具箱 / ECJOY! [創業24年インボイスT7011001061049] / 農家のお店おてんとさん,6,6,6,932,B00FB91SSI,SUN UP 両口メガネレンチ 6丁組,https://www.amazon.co.jp/dp/B00FB91SSI,https://www.google.com/search?q=%E8%BF%91%E4%B8%8E%28KONYO%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
野田琺瑯(Nodahoro),1,ホーム＆キッチン,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／メーカー名日本語,なし,おしゃれcafeアマゾン店 / ECカレント / 特価COM,4,5,5,500,B003VIVZTS,野田琺瑯(Nodahoro) 保存容器 ホーロー 耐熱 持ち手付きストッカー 角型 レクタングル Lサイズ 密閉蓋付 ホ,https://www.amazon.co.jp/dp/B003VIVZTS,https://www.google.com/search?q=%E9%87%8E%E7%94%B0%E7%90%BA%E7%91%AF%28Nodahoro%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
鈴木ラテックス(SUZUKILATEX),1,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,メーカー名日本語,なし,めずらしや (土日祝休業) / おもちゃの三洋堂 (土日祝日休業) / もぐら本舗,3,3,3,114,B0016JT474,鈴木ラテックス ヨーヨーフーセンセット ポケットポンプ付き 100個入り,https://www.amazon.co.jp/dp/B0016JT474,https://www.google.com/search?q=%E9%88%B4%E6%9C%A8%E3%83%A9%E3%83%86%E3%83%83%E3%82%AF%E3%82%B9%28SUZUKILATEX%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ＹＡＺＡＫＩ,1,DIY・工具・ガーデン,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,manufacturer日本語／日本法人格,なし,【給湯器とガスコンロのお店】 / LIGA（EC事業部）,2,3,3,4167,B07VL814FP,矢崎 都市ガス ガス警報器 YP-756F 日本製 ＣＯ警報器 ガス漏れ 不完全燃焼 複合型 石膏ボード用アタッチメント,https://www.amazon.co.jp/dp/B07VL814FP,https://www.google.com/search?q=%EF%BC%B9%EF%BC%A1%EF%BC%BA%EF%BC%A1%EF%BC%AB%EF%BC%A9%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
RemarksJapan,5,ファッション,連絡候補,,B: 国内の第三者が1社扱っている,規模未確認,JAN45/49,なし,ONEBEST1+【インボイス発行事業者】,1,1,2,427,B0CKMS2KS7,【ソーラー＆電波】腕時計 メンズ 電波ソーラー腕時計 精密 防水 アウトドア 普段使い シンプル ソーラー ブラック,https://www.amazon.co.jp/dp/B0CKMS2KS7,https://www.google.com/search?q=RemarksJapan%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
OHAJIKI,3,車＆バイク,連絡候補,,B: 国内の第三者が1社扱っている,規模未確認,JAN45/49,なし,ゆるり生活商店,1,1,2,1398,B09K4254ZT,やさしい鉄粉取り 鉄粉除去剤 鉄粉クリーナー 鉄粉除去スプレー OHAJIKI ブレーキダストクリーナー 除去 洗浄 車,https://www.amazon.co.jp/dp/B09K4254ZT,https://www.google.com/search?q=OHAJIKI%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
サンワダイレクト,3,家電＆カメラ,連絡候補,,B: 国内の第三者が1社扱っている,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語,なし,TTT本舗,1,1,2,3246,B07Z5JZDPH,サンワダイレクト ネックスピーカー Bluetooth 防水 軽量 175g 連続10時間再生 通話対応 microSD,https://www.amazon.co.jp/dp/B07Z5JZDPH,https://www.google.com/search?q=%E3%82%B5%E3%83%B3%E3%83%AF%E3%83%80%E3%82%A4%E3%83%AC%E3%82%AF%E3%83%88%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Azb.Studio,1,おもちゃ,連絡候補,,B: 国内の第三者が1社扱っている,規模未確認,JAN45/49,なし,ミーニャ 簡易梱包、衣類ぬいぐるみ等は圧縮後発送となります,1,1,2,1344,B0D2PRN22Z,Azb.Studio シンソクキネマ 〜合体映画上映祭～,https://www.amazon.co.jp/dp/B0D2PRN22Z,https://www.google.com/search?q=Azb.Studio%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
E-enemo,1,DIY・工具・ガーデン,連絡候補,,B: 国内の第三者が1社扱っている,規模未確認,JAN45/49,なし,SIMPS by WANSTE 『ペット・生活雑貨・ベビー』など豊富なジャンルを扱っているお店,1,1,2,493,B0CKYTBJHH,[E-enemo] ウールバフ 羊毛バフ 【整備士監修】 5個セットx研磨や仕上げ用に フェルトバフ (125mm),https://www.amazon.co.jp/dp/B0CKYTBJHH,https://www.google.com/search?q=E-enemo%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
FOSTEX,1,楽器・音響機器,連絡候補,,B: 国内の第三者が1社扱っている,規模未確認,JAN45/49,なし,株式会社コジマ,1,1,2,10787,B08CV215ML,FOSTEX AP15mk2,https://www.amazon.co.jp/dp/B08CV215ML,https://www.google.com/search?q=FOSTEX%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Fitbit(フィットビット),1,スポーツ＆アウトドア,連絡候補,,B: 国内の第三者が1社扱っている,規模未確認（大きい可能性あり）,メーカー名日本語,なし,haruka堂インボイス登録事業者,1,1,2,6596,B0B75STB24,Fitbit Inspire 3 フィットネストラッカー モーニンググロウ／ブラック スマートウォッチ/iPhone対応,https://www.amazon.co.jp/dp/B0B75STB24,https://www.google.com/search?q=Fitbit%28%E3%83%95%E3%82%A3%E3%83%83%E3%83%88%E3%83%93%E3%83%83%E3%83%88%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Pエンタメストア,1,ホビー,連絡候補,,B: 国内の第三者が1社扱っている,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語,なし,LOCA SHOP【全商品 配送無料】（離島など一部地域は除きます）,1,1,2,2493,B0FWPQYC96,勝ち勝ちくん クリア PLUS 戦国乙女 山本カンスケバージョン カチカチくん 小役カウンター カチカチ君 プラス,https://www.amazon.co.jp/dp/B0FWPQYC96,https://www.google.com/search?q=P%E3%82%A8%E3%83%B3%E3%82%BF%E3%83%A1%E3%82%B9%E3%83%88%E3%82%A2%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ROOMMATE,1,DIY・工具・ガーデン,連絡候補,,B: 国内の第三者が1社扱っている,規模未確認,JAN45/49,なし,Tokyo Decoration Park TDP　トウキョウデコレーションパーク,1,1,2,1033,B0DTP1PGTV,[東京Deco] 2WAY 芝刈り機 電動 芝生バリカン 生垣バリカン ハンディ [本格充電式コードレス] [芝生バリカ,https://www.amazon.co.jp/dp/B0DTP1PGTV,https://www.google.com/search?q=ROOMMATE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
atRise,1,おもちゃ,連絡候補,,B: 国内の第三者が1社扱っている,規模未確認,JAN45/49,なし,SSオンラインストア本店,1,1,2,248,B0D61ZTLT1,【はじめてのタロット占いに】 atRise タロットカード 初心者向け 5点セット（日本語解説書・早見表・クロス・収納袋,https://www.amazon.co.jp/dp/B0D61ZTLT1,https://www.google.com/search?q=atRise%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
